dataset,condition,seed,corruption,severity,clean_bacc,corrupted_bacc,corrupted_error,BE,rBE,rBE_valid,alexnet_error,rBE_denominator
pneumonia,pretrained,0,pixelate,1,0.9098290598290598,0.879059829059829,0.12094017094017095,0.9234338747099766,0.9480796586059738,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,0,pixelate,2,0.9098290598290598,0.8354700854700854,0.1645299145299146,0.9234338747099766,0.9480796586059738,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,0,pixelate,3,0.9098290598290598,0.8055555555555556,0.19444444444444442,0.9234338747099766,0.9480796586059738,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,0,pixelate,4,0.9098290598290598,0.7927350427350428,0.2072649572649572,0.9234338747099766,0.9480796586059738,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,0,pixelate,5,0.9098290598290598,0.6666666666666666,0.33333333333333337,0.9234338747099766,0.9480796586059738,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,1,pixelate,1,0.8713675213675214,0.8141025641025641,0.1858974358974359,1.403712296983759,1.5113798008534851,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,1,pixelate,2,0.8713675213675214,0.7286324786324786,0.2713675213675214,1.403712296983759,1.5113798008534851,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,1,pixelate,3,0.8713675213675214,0.688034188034188,0.31196581196581197,1.403712296983759,1.5113798008534851,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,1,pixelate,4,0.8713675213675214,0.6901709401709402,0.30982905982905984,1.403712296983759,1.5113798008534851,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,1,pixelate,5,0.8713675213675214,0.5277777777777778,0.4722222222222222,1.403712296983759,1.5113798008534851,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,2,pixelate,1,0.8833333333333333,0.8354700854700854,0.1645299145299146,1.274168600154679,1.372688477951635,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,2,pixelate,2,0.8833333333333333,0.7606837606837606,0.23931623931623935,1.274168600154679,1.372688477951635,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,2,pixelate,3,0.8833333333333333,0.7158119658119658,0.2841880341880342,1.274168600154679,1.372688477951635,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,2,pixelate,4,0.8833333333333333,0.7435897435897436,0.2564102564102564,1.274168600154679,1.372688477951635,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,2,pixelate,5,0.8833333333333333,0.5363247863247863,0.4636752136752137,1.274168600154679,1.372688477951635,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,3,pixelate,1,0.9055555555555556,0.8418803418803419,0.1581196581196581,1.0924207269914927,1.2233285917496441,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,3,pixelate,2,0.9055555555555556,0.767094017094017,0.23290598290598297,1.0924207269914927,1.2233285917496441,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,3,pixelate,3,0.9055555555555556,0.7457264957264957,0.25427350427350426,1.0924207269914927,1.2233285917496441,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,3,pixelate,4,0.9055555555555556,0.8482905982905983,0.15170940170940173,1.0924207269914927,1.2233285917496441,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,3,pixelate,5,0.9055555555555556,0.5897435897435898,0.41025641025641024,1.0924207269914927,1.2233285917496441,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,4,pixelate,1,0.8747863247863248,0.8213675213675213,0.17863247863247866,1.2803557617942767,1.3129445234708386,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,4,pixelate,2,0.8747863247863248,0.7380341880341881,0.2619658119658119,1.2803557617942767,1.3129445234708386,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,4,pixelate,3,0.8747863247863248,0.7158119658119658,0.2841880341880342,1.2803557617942767,1.3129445234708386,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,4,pixelate,4,0.8747863247863248,0.7371794871794872,0.2628205128205128,1.2803557617942767,1.3129445234708386,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,4,pixelate,5,0.8747863247863248,0.5726495726495726,0.4273504273504274,1.2803557617942767,1.3129445234708386,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,0,pixelate,1,0.808974358974359,0.8004273504273505,0.19957264957264953,0.9481825212683679,0.15433854907539096,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,0,pixelate,2,0.808974358974359,0.7931623931623932,0.20683760683760677,0.9481825212683679,0.15433854907539096,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,0,pixelate,3,0.808974358974359,0.791880341880342,0.20811965811965805,0.9481825212683679,0.15433854907539096,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,0,pixelate,4,0.808974358974359,0.7829059829059829,0.2170940170940171,0.9481825212683679,0.15433854907539096,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,0,pixelate,5,0.808974358974359,0.7837606837606838,0.21623931623931625,0.9481825212683679,0.15433854907539096,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,1,pixelate,1,0.8247863247863247,0.8162393162393162,0.18376068376068377,0.8747099767981437,0.15078236130867642,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,1,pixelate,2,0.8247863247863247,0.8098290598290598,0.19017094017094016,0.8747099767981437,0.15078236130867642,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,1,pixelate,3,0.8247863247863247,0.8055555555555556,0.19444444444444442,0.8747099767981437,0.15078236130867642,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,1,pixelate,4,0.8247863247863247,0.8055555555555556,0.19444444444444442,0.8747099767981437,0.15078236130867642,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,1,pixelate,5,0.8247863247863247,0.7961538461538462,0.2038461538461538,0.8747099767981437,0.15078236130867642,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,2,pixelate,1,0.7790598290598291,0.7747863247863248,0.2252136752136752,1.0676720804331012,0.12517780938833586,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,2,pixelate,2,0.7790598290598291,0.7726495726495727,0.22735042735042732,1.0676720804331012,0.12517780938833586,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,2,pixelate,3,0.7790598290598291,0.764102564102564,0.23589743589743595,1.0676720804331012,0.12517780938833586,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,2,pixelate,4,0.7790598290598291,0.7517094017094017,0.2482905982905983,1.0676720804331012,0.12517780938833586,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,2,pixelate,5,0.7790598290598291,0.7568376068376068,0.2431623931623932,1.0676720804331012,0.12517780938833586,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,3,pixelate,1,0.8196581196581196,0.8111111111111111,0.18888888888888888,0.8642691415313224,0.08890469416785171,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,3,pixelate,2,0.8196581196581196,0.8145299145299145,0.18547008547008548,0.8642691415313224,0.08890469416785171,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,3,pixelate,3,0.8196581196581196,0.805982905982906,0.194017094017094,0.8642691415313224,0.08890469416785171,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,3,pixelate,4,0.8196581196581196,0.8132478632478632,0.18675213675213675,0.8642691415313224,0.08890469416785171,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,3,pixelate,5,0.8196581196581196,0.8,0.19999999999999996,0.8642691415313224,0.08890469416785171,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,4,pixelate,1,0.8111111111111111,0.8038461538461539,0.19615384615384612,0.9079659706109819,0.09815078236130839,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,4,pixelate,2,0.8111111111111111,0.8004273504273505,0.19957264957264953,0.9079659706109819,0.09815078236130839,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,4,pixelate,3,0.8111111111111111,0.8008547008547009,0.1991452991452991,0.9079659706109819,0.09815078236130839,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,4,pixelate,4,0.8111111111111111,0.7957264957264958,0.20427350427350421,0.9079659706109819,0.09815078236130839,True,0.22102564102564104,0.12017094017094021
pneumonia,scratch,4,pixelate,5,0.8111111111111111,0.7957264957264958,0.20427350427350421,0.9079659706109819,0.09815078236130839,True,0.22102564102564104,0.12017094017094021
pneumonia,pretrained,0,jpeg_compression,1,0.9098290598290598,0.8427350427350427,0.15726495726495726,1.1722663408674405,1.3290353390639922,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,0,jpeg_compression,2,0.9098290598290598,0.7799145299145299,0.22008547008547008,1.1722663408674405,1.3290353390639922,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,0,jpeg_compression,3,0.9098290598290598,0.6452991452991453,0.35470085470085466,1.1722663408674405,1.3290353390639922,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,0,jpeg_compression,4,0.9098290598290598,0.5641025641025641,0.4358974358974359,1.1722663408674405,1.3290353390639922,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,0,jpeg_compression,5,0.9098290598290598,0.5277777777777778,0.4722222222222222,1.1722663408674405,1.3290353390639922,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,1,jpeg_compression,1,0.8713675213675214,0.782051282051282,0.21794871794871795,1.37599266951741,1.4326647564469914,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,1,jpeg_compression,2,0.8713675213675214,0.6944444444444444,0.3055555555555556,1.37599266951741,1.4326647564469914,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,1,jpeg_compression,3,0.8713675213675214,0.5726495726495726,0.4273504273504274,1.37599266951741,1.4326647564469914,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,1,jpeg_compression,4,0.8713675213675214,0.5235042735042735,0.47649572649572647,1.37599266951741,1.4326647564469914,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,1,jpeg_compression,5,0.8713675213675214,0.5021367521367521,0.49786324786324787,1.37599266951741,1.4326647564469914,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,2,jpeg_compression,1,0.8833333333333333,0.8064102564102564,0.19358974358974357,1.3173488087965792,1.4078319006685769,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,2,jpeg_compression,2,0.8833333333333333,0.7350427350427351,0.2649572649572649,1.3173488087965792,1.4078319006685769,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,2,jpeg_compression,3,0.8833333333333333,0.5769230769230769,0.42307692307692313,1.3173488087965792,1.4078319006685769,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,2,jpeg_compression,4,0.8833333333333333,0.532051282051282,0.46794871794871795,1.3173488087965792,1.4078319006685769,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,2,jpeg_compression,5,0.8833333333333333,0.5064102564102564,0.4935897435897436,1.3173488087965792,1.4078319006685769,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,3,jpeg_compression,1,0.9055555555555556,0.8397435897435898,0.16025641025641024,1.0965180207697005,1.1867239732569244,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,3,jpeg_compression,2,0.9055555555555556,0.7991452991452992,0.2008547008547008,1.0965180207697005,1.1867239732569244,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,3,jpeg_compression,3,0.9055555555555556,0.6837606837606838,0.3162393162393162,1.0965180207697005,1.1867239732569244,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,3,jpeg_compression,4,0.9055555555555556,0.5961538461538461,0.40384615384615385,1.0965180207697005,1.1867239732569244,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,3,jpeg_compression,5,0.9055555555555556,0.5470085470085471,0.45299145299145294,1.0965180207697005,1.1867239732569244,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,4,jpeg_compression,1,0.8747863247863248,0.77008547008547,0.22991452991452999,1.3601099572388515,1.4269340974212033,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,4,jpeg_compression,2,0.8747863247863248,0.7136752136752137,0.2863247863247863,1.3601099572388515,1.4269340974212033,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,4,jpeg_compression,3,0.8747863247863248,0.5854700854700855,0.4145299145299145,1.3601099572388515,1.4269340974212033,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,4,jpeg_compression,4,0.8747863247863248,0.5235042735042735,0.47649572649572647,1.3601099572388515,1.4269340974212033,True,0.2798290598290598,0.17897435897435898
pneumonia,pretrained,4,jpeg_compression,5,0.8747863247863248,0.5042735042735043,0.49572649572649574,1.3601099572388515,1.4269340974212033,True,0.2798290598290598,0.17897435897435898
pneumonia,scratch,0,jpeg_compression,1,0.808974358974359,0.8047008547008547,0.19529914529914527,0.7199144777031152,0.05826170009551071,True,0.2798290598290598,0.17897435897435898
pneumonia,scratch,0,jpeg_compression,2,0.808974358974359,0.8025641025641026,0.1974358974358974,0.7199144777031152,0.05826170009551071,True,0.2798290598290598,0.17897435897435898
pneumonia,scratch,0,jpeg_compression,3,0.808974358974359,0.8025641025641026,0.1974358974358974,0.7199144777031152,0.05826170009551071,True,0.2798290598290598,0.17897435897435898
pneumonia,scratch,0,jpeg_compression,4,0.808974358974359,0.7961538461538462,0.2038461538461538,0.7199144777031152,0.05826170009551071,True,0.2798290598290598,0.17897435897435898
pneumonia,scratch,0,jpeg_compression,5,0.808974358974359,0.7867521367521368,0.21324786324786316,0.7199144777031152,0.05826170009551071,True,0.2798290598290598,0.17897435897435898
pneumonia,scratch,1,jpeg_compression,1,0.8247863247863247,0.8183760683760684,0.18162393162393164,0.6792913866829566,0.08309455587392524,True,0.2798290598290598,0.17897435897435898
pneumonia,scratch,1,jpeg_compression,2,0.8247863247863247,0.8226495726495726,0.1773504273504274,0.6792913866829566,0.08309455587392524,True,0.2798290598290598,0.17897435897435898
pneumonia,scratch,1,jpeg_compression,3,0.8247863247863247,0.8111111111111111,0.18888888888888888,0.6792913866829566,0.08309455587392524,True,0.2798290598290598,0.17897435897435898
