dataset,condition,clean_mean,clean_sd,corrupted_mean,corrupted_sd,drop_mean,drop_sd,BE_mean,BE_sd,rBE_mean,rBE_sd
blood,pretrained,0.9901912883817632,0.0020619855226457497,0.8901475036823067,0.009469006894566322,0.10004378469945643,0.008165388430949204,1.273498082616835,0.10932545816370758,1.6243210129504733,0.11773571017145072
blood,scratch,0.9860129571555122,0.004341356128385931,0.7263751256805513,0.010039459694233933,0.25963783147496083,0.010101311033655212,3.8440773363752188,0.15178339339876867,5.852788927473403,0.3053478073918585
derma,pretrained,0.7265458192718723,0.02971873160187481,0.4037173351040558,0.02066950297835693,0.3228284841678165,0.016969420569177274,0.9697246678864697,0.0384155603310164,1.7780658523588642,0.1077033698323304
derma,scratch,0.553753240510813,0.008225347157536738,0.4085595524940112,0.008430483384484459,0.1451936880168018,0.007137628582007582,0.9821079002215134,0.013970259910064682,0.7465980355640247,0.08023191156559187
pneumonia,pretrained,0.8889743589743591,0.01769870646912105,0.721896120973044,0.035185224920913846,0.16707823800131497,0.019247472530436585,1.0434062903598995,0.13833311011169885,0.9856001249717841,0.1339696885335171
pneumonia,scratch,0.8087179487179487,0.017771304705830566,0.7653780407626561,0.014566202184129943,0.043339907955292564,0.016021961849451028,1.0847683478725187,0.05958478173437919,0.4319936281710951,0.07417837738337309
