dataset,clean_gain,corrupted_gain,drop_advantage
blood,0.0041783312262509975,0.16377237800175537,0.15959404677550437
derma,0.1727925787610593,-0.004842217389955416,-0.17763479615101474
pneumonia,0.08025641025641025,-0.04348191978961213,-0.12373833004602239
