Dataset,Initialization,Clean bACC mean (%),Clean bACC SD,Corrupted bACC mean (%),Corrupted bACC SD,BE mean,BE SD,rBE mean,rBE SD
blood,pretrained,99.01912883817631,0.20619855226456998,89.01475036823066,0.94690068945663,1.273498082616835,0.1093254581637075,1.6243210129504733,0.1177357101714507
blood,scratch,98.60129571555122,0.43413561283859003,72.63751256805513,1.00394596942339,3.844077336375219,0.1517833933987686,5.852788927473403,0.3053478073918585
derma,pretrained,72.65458192718724,2.97187316018748,40.371733510405576,2.0669502978356897,0.9697246678864696,0.0384155603310164,1.7780658523588642,0.1077033698323304
derma,scratch,55.3753240510813,0.82253471575367,40.85595524940112,0.84304833844844,0.9821079002215134,0.0139702599100646,0.7465980355640247,0.0802319115655918
pneumonia,pretrained,88.89743589743591,1.7698706469121,72.1896120973044,3.5185224920913796,1.0434062903598995,0.1383331101116988,0.985600124971784,0.1339696885335171
pneumonia,scratch,80.87179487179486,1.77713047058305,76.53780407626562,1.45662021841299,1.0847683478725187,0.0595847817343791,0.4319936281710951,0.074178377383373
