dataset,condition,seed,corruption,severity,clean_bacc,corrupted_bacc,corrupted_error,BE,rBE,rBE_valid,rBE_small_denominator,alexnet_error,rBE_denominator
derma,pretrained,0,pixelate,1,0.7104744268353997,0.5761954925330325,0.4238045074669675,1.1307699476600963,2.570668120983626,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,0,pixelate,2,0.7104744268353997,0.6194112716201499,0.38058872837985014,1.1307699476600963,2.570668120983626,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,0,pixelate,3,0.7104744268353997,0.37610110848334416,0.6238988915166559,1.1307699476600963,2.570668120983626,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,0,pixelate,4,0.7104744268353997,0.25596456248637006,0.74403543751363,1.1307699476600963,2.570668120983626,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,0,pixelate,5,0.7104744268353997,0.2859703810466258,0.7140296189533741,1.1307699476600963,2.570668120983626,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,1,pixelate,1,0.7440463834561305,0.6807053998927357,0.3192946001072643,0.96042584773073,2.093685325349857,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,1,pixelate,2,0.7440463834561305,0.6534888383857183,0.34651116161428175,0.96042584773073,2.093685325349857,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,1,pixelate,3,0.7440463834561305,0.447184694181912,0.552815305818088,0.96042584773073,2.093685325349857,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,1,pixelate,4,0.7440463834561305,0.3786844752672844,0.6213155247327156,0.96042584773073,2.093685325349857,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,1,pixelate,5,0.7440463834561305,0.38839280047770114,0.6116071995222989,0.96042584773073,2.093685325349857,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,2,pixelate,1,0.684106628040369,0.5865094553507746,0.4134905446492254,1.1420048878535856,2.3863436186607423,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,2,pixelate,2,0.684106628040369,0.6390667497653527,0.3609332502346473,1.1420048878535856,2.3863436186607423,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,2,pixelate,3,0.684106628040369,0.35755986673122436,0.6424401332687757,1.1420048878535856,2.3863436186607423,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,2,pixelate,4,0.684106628040369,0.2326917842540783,0.7673082157459217,1.1420048878535856,2.3863436186607423,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,2,pixelate,5,0.684106628040369,0.26913711060411655,0.7308628893958835,1.1420048878535856,2.3863436186607423,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,3,pixelate,1,0.759823002459764,0.6885385006265977,0.3114614993734023,1.030639084014854,2.5548604963799884,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,3,pixelate,2,0.759823002459764,0.6322647971140855,0.36773520288591455,1.030639084014854,2.5548604963799884,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,3,pixelate,3,0.759823002459764,0.4283297345825577,0.5716702654174424,1.030639084014854,2.5548604963799884,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,3,pixelate,4,0.759823002459764,0.30161500550533143,0.6983849944946685,1.030639084014854,2.5548604963799884,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,3,pixelate,5,0.759823002459764,0.3184847311900247,0.6815152688099753,1.030639084014854,2.5548604963799884,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,4,pixelate,1,0.7342786555676982,0.6493705144403433,0.3506294855596567,1.0817926619619154,2.5599541987420986,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,4,pixelate,2,0.7342786555676982,0.6223248037146528,0.3776751962853472,1.0817926619619154,2.5599541987420986,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,4,pixelate,3,0.7342786555676982,0.38959102008488394,0.610408979915116,1.0817926619619154,2.5599541987420986,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,4,pixelate,4,0.7342786555676982,0.27549234843438036,0.7245076515656197,1.0817926619619154,2.5599541987420986,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,4,pixelate,5,0.7342786555676982,0.301881548566215,0.698118451433785,1.0817926619619154,2.5599541987420986,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,0,pixelate,1,0.5642540763608883,0.5702590462168186,0.42974095378318145,0.87784067367666,0.11079829349345971,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,0,pixelate,2,0.5642540763608883,0.5585217967374679,0.44147820326253207,0.87784067367666,0.11079829349345971,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,0,pixelate,3,0.5642540763608883,0.5457538971224009,0.45424610287759914,0.87784067367666,0.11079829349345971,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,0,pixelate,4,0.5642540763608883,0.5464131421516182,0.4535868578483818,0.87784067367666,0.11079829349345971,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,0,pixelate,5,0.5642540763608883,0.5383118682025138,0.46168813179748625,0.87784067367666,0.11079829349345971,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,1,pixelate,1,0.5453605518324164,0.5341401856632306,0.4658598143367694,0.9314107103979182,0.1863302364966946,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,1,pixelate,2,0.5453605518324164,0.5360217260519378,0.46397827394806224,0.9314107103979182,0.1863302364966946,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,1,pixelate,3,0.5453605518324164,0.5268609272126678,0.47313907278733225,0.9314107103979182,0.1863302364966946,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,1,pixelate,4,0.5453605518324164,0.5052498831170541,0.4947501168829459,0.9314107103979182,0.1863302364966946,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,1,pixelate,5,0.5453605518324164,0.5202463406373503,0.4797536593626497,0.9314107103979182,0.1863302364966946,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,2,pixelate,1,0.5534051671878045,0.5456754459477243,0.4543245540522757,0.9140506389285031,0.17902321148539738,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,2,pixelate,2,0.5534051671878045,0.5372788868520029,0.46272111314799713,0.9140506389285031,0.17902321148539738,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,2,pixelate,3,0.5534051671878045,0.5294023620259292,0.47059763797407084,0.9140506389285031,0.17902321148539738,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,2,pixelate,4,0.5534051671878045,0.5293810330505807,0.4706189669494193,0.9140506389285031,0.17902321148539738,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,2,pixelate,5,0.5534051671878045,0.5250939441933011,0.47490605580669887,0.9140506389285031,0.17902321148539738,True,False,0.5105118313063095,0.11193427158204838
