dataset,condition,seed,clean_test_bacc,mean_corrupted_bacc,mean_BE,mean_valid_rBE,valid_rBE_n,absolute_drop
blood,pretrained,0,0.9899915047646126,0.9007318630321549,1.192914862750544,1.5702895827151082,11,0.0892596417324577
blood,pretrained,1,0.9867345502282888,0.8752409341198066,1.4542199043023718,1.8048952008609027,11,0.11149361610848219
blood,pretrained,2,0.9911905785219126,0.8884231733418922,1.2927580272449088,1.6586526297120996,11,0.10276740518002037
blood,pretrained,3,0.9910253517357612,0.8944278033650577,1.237832526745236,1.597742042008047,11,0.09659754837070356
blood,pretrained,4,0.9920144566582404,0.8919137445526221,1.1897650920411147,1.4900256094562074,11,0.10010071210561833
blood,scratch,0,0.986881642329062,0.7293063995732642,3.728955961249008,5.647897569933228,11,0.2575752427557978
blood,scratch,1,0.9886038123934132,0.7158498445500844,4.085609015536601,6.353343321850724,11,0.27275396784332884
blood,scratch,2,0.978331286151004,0.7219392943592541,3.8081580237574304,5.603156661095352,11,0.2563919917917499
blood,scratch,3,0.9881007357017896,0.7225983651524621,3.885946145503132,5.922072728208278,11,0.26550237054932746
blood,scratch,4,0.988147309202292,0.742181724767692,3.711717535829922,5.737474356279438,11,0.24596558443460004
derma,pretrained,0,0.7104744268353997,0.3849356220409374,1.0028668303248476,1.8185920118175265,15,0.32553880479446234
derma,pretrained,1,0.7440463834561305,0.42844422834642654,0.926157049678946,1.6961495004606157,15,0.31560215510970396
derma,pretrained,2,0.684106628040369,0.379855929436493,1.016791043749786,1.7140862584161023,15,0.30425069860387605
derma,pretrained,3,0.759823002459764,0.40994788756672107,0.9545632080953855,1.9499199966216985,15,0.3498751148930429
derma,pretrained,4,0.7342786555676982,0.4154030081297009,0.9482452075833838,1.7115814944783778,15,0.31887564743799734
derma,scratch,0,0.5642540763608883,0.414794513533466,0.974348813733363,0.8386203652074721,15,0.1494595628274223
derma,scratch,1,0.5453605518324164,0.39924009664249477,0.9980980308093381,0.7330261992838074,15,0.14612045518992162
derma,scratch,2,0.5534051671878045,0.3999951553747768,0.9951030584360783,0.8109683120876664,15,0.1534100118130277
derma,scratch,3,0.5595158868406569,0.4173308581630497,0.965551947092963,0.7122950352332372,15,0.14218502867760718
derma,scratch,4,0.5462305203322988,0.41143713875626864,0.9774376510358247,0.6380802660079404,15,0.13479338157603016
pneumonia,pretrained,0,0.9098290598290598,0.7488297172912557,0.918402029990457,0.9518605500262154,11,0.16099934253780412
pneumonia,pretrained,1,0.8713675213675214,0.6802301117685733,1.2094492755451531,1.1842966888503317,11,0.1911374095989481
pneumonia,pretrained,2,0.8833333333333333,0.7092439184746876,1.0930318558259164,0.9837232662888077,11,0.1740894148586457
pneumonia,pretrained,3,0.9055555555555556,0.7668573307034845,0.882369443804168,0.8095303308491647,11,0.13869822485207106
pneumonia,pretrained,4,0.8747863247863248,0.704319526627219,1.1137788466338028,0.9985897888444009,11,0.17046679815910581
pneumonia,scratch,0,0.808974358974359,0.7652268244575937,1.115082818318722,0.48271812938616526,11,0.043747534516765274
pneumonia,scratch,1,0.8247863247863247,0.7544707429322813,1.1085132465297636,0.4945365726143645,11,0.07031558185404341
pneumonia,scratch,2,0.7790598290598291,0.7476331360946745,1.1550208327824234,0.4015899807411179,11,0.031426692965154546
pneumonia,scratch,3,0.8196581196581196,0.7797304404996713,1.0279259586008591,0.4652863751126403,11,0.039927679158448304
pneumonia,scratch,4,0.8111111111111111,0.7798290598290598,1.0172988831308254,0.31583708300118746,11,0.031282051282051304
