dataset,condition_pre,corruption,family,corrupted_bacc_mean_pre,corrupted_bacc_sd_pre,BE_mean_pre,BE_sd_pre,condition_scratch,corrupted_bacc_mean_scratch,corrupted_bacc_sd_scratch,BE_mean_scratch,BE_sd_scratch,delta_bacc,delta_BE
blood,pretrained,brightness_down,color,0.6027921831124134,0.06906197008223257,5.027453551169164,0.8741163491224068,scratch,0.3383026883956123,0.023591419622253883,8.375093232281582,0.2985962544402502,0.26448949471680117,3.347639681112418
blood,pretrained,brightness_up,color,0.9189887500693359,0.016567225023773197,1.166251329061265,0.23850450671196227,scratch,0.4987371701459411,0.06367860493016216,7.216262457703749,0.9167277099925124,0.4202515799233948,6.050011128642484
blood,pretrained,bubble,task_specific,0.9481154457504977,0.009814124698627627,0.4022422144357787,0.07608536506917514,scratch,0.9385592187721642,0.010278817208315336,0.4763281916021443,0.0796879583039491,0.00955622697833347,0.07408597716636561
blood,pretrained,contrast_down,color,0.9319852680758753,0.012137267000187846,0.8538055118139958,0.15236207171527294,scratch,0.5871172219139977,0.016391923489366148,5.183018174006293,0.2057718119078545,0.3448680461618776,4.329212662192297
blood,pretrained,contrast_up,color,0.9630386973646768,0.011904250037165118,0.7087005776570866,0.2282535591657058,scratch,0.8959811503974523,0.01585621387892898,1.994470257931334,0.3040290015296164,0.06705754696722455,1.2857696802742473
blood,pretrained,defocus_blur,blur,0.924930906647704,0.014298806673346003,0.3351329391583098,0.063834540859662,scratch,0.8593111340574747,0.04825712115921293,0.6280810256878621,0.21543554247429939,0.06561977259022933,0.2929480865295523
blood,pretrained,jpeg_compression,digital,0.8449612183921733,0.034350133355574235,1.1093067158594216,0.24577614211644205,scratch,0.9355424829882695,0.006395587336869584,0.4611952942819434,0.04576060203182573,-0.09058126459609617,-0.6481114215774783
blood,pretrained,motion_blur,blur,0.9449446812260147,0.007700270143445776,0.29837173952513746,0.041731535638642715,scratch,0.8813791785747224,0.033284924099212514,0.6428643339230776,0.18038730725026575,0.06356550265129235,0.34449259439794017
blood,pretrained,pixelate,digital,0.9210458633785418,0.010766234229030981,1.32127127392728,0.18016935684311078,scratch,0.975857628244454,0.011805501012476145,0.40401457922353645,0.19756114156360563,-0.054811764865912216,-0.9172566947037436
blood,pretrained,saturate,color,0.9290256294693229,0.018932656728871077,2.040338757085039,0.54426736031151,scratch,0.4888519540769499,0.03585298985017048,14.69425034568366,1.0306853615145612,0.44017367539237295,12.653911588598621
blood,pretrained,stain_deposit,task_specific,0.8617938970188181,0.04859233031527531,0.7456042990927076,0.2621494246960665,scratch,0.5904865549190264,0.077613591832148,2.2092728078022263,0.41871542927417327,0.2713073420997918,1.4636685087095187
derma,pretrained,black_corner,task_specific,0.5350782947257892,0.05424492521531514,0.61242743389131,0.0714552148767665,scratch,0.2846918806972249,0.02815340599290162,0.942253955830781,0.03708563827400504,0.25038641402856426,0.32982652193947093
derma,pretrained,brightness_down,color,0.41231053140085844,0.029880660430297436,1.0180022830066688,0.051759614832468805,scratch,0.2879823536302762,0.010830667933126878,1.2333649457309206,0.018761004359482303,0.12432817777058225,0.21536266272425175
